TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
1578 sentences were reranked out of 1700

PROBABILITY_MODEL=topdown_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
1;0.9012206041755031;0.900371957248458;0.900796080832823;19123;21239;21219
2;0.903105707149253;0.9008132374371268;0.9019580156264709;19163;21273;21219
3;0.9064988925020029;0.9023314725336585;0.9044103817942448;19235;21317;21219
4;0.9071586785428154;0.901845952023988;0.9044945140145196;19249;21344;21219
5;0.9089966539422216;0.9035461657375744;0.9062632147723535;19288;21347;21219
6;0.9077713370092841;0.9026241799437675;0.9051904415047346;19262;21340;21219
7;0.9074414439888779;0.902338441351516;0.9048827482494478;19255;21339;21219
8;0.9052735755690655;0.9009427325172366;0.9031029619181947;19209;21321;21219
9;0.9063103822046279;0.9020591960223275;0.9041797921858102;19231;21319;21219
10;0.9051321928460342;0.9007175350560428;0.9029194678200366;19206;21323;21219
11;0.904236768933503;0.9004599211563732;0.9023443929738755;19187;21308;21219
12;0.9040953862104717;0.9006572769953052;0.9023730567510995;19184;21300;21219
13;0.904236768933503;0.9007135480236598;0.9024717198560711;19187;21302;21219
14;0.904048258636128;0.9005257722279598;0.9022835775263988;19183;21302;21219
Ch;0.9064988925020029;0.9013167143057964;0.9039003759398496;19235;21341;21219
Ran;0.8866110561289411;0.8829078280458044;0.8847555670515203;18813;21308;21219
