TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
26 sentences were reranked out of 30

PROBABILITY_MODEL=leftcorner_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.2; LAMBDA_2=0.2; LAMBDA_3=0.2
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;NaN;NaN;NaN;0;0;0
1;0.8913649025069638;0.8791208791208791;0.8852005532503459;320;364;359
2;0.8885793871866295;0.8763736263736264;0.8824343015214385;319;364;359
3;0.8913649025069638;0.8767123287671232;0.8839779005524863;320;365;359
4;0.8857938718662952;0.8760330578512396;0.8808864265927977;318;363;359
5;0.8857938718662952;0.8712328767123287;0.8784530386740331;318;365;359
6;0.8857938718662952;0.8736263736263736;0.8796680497925311;318;364;359
7;0.8913649025069638;0.8791208791208791;0.8852005532503459;320;364;359
8;0.8969359331476323;0.8821917808219178;0.8895027624309393;322;365;359
9;0.8941504178272981;0.8746594005449592;0.8842975206611571;321;367;359
10;0.8913649025069638;0.8767123287671232;0.8839779005524863;320;365;359
11;0.8857938718662952;0.8736263736263736;0.8796680497925311;318;364;359
12;0.8857938718662952;0.8736263736263736;0.8796680497925311;318;364;359
13;0.8857938718662952;0.8736263736263736;0.8796680497925311;318;364;359
14;0.883008356545961;0.8732782369146006;0.8781163434903048;317;363;359
Ch;0.8802228412256268;0.8681318681318682;0.8741355463347165;316;364;359
Ran;0.8690807799442897;0.861878453038674;0.8654646324549238;312;362;359
