TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8695299837925445;0.8838550247116969;0.8766339869281045;1073;1214;1234
1;0.8849270664505673;0.8820678513731826;0.883495145631068;1092;1238;1234
2;0.8881685575364667;0.8867313915857605;0.8874493927125505;1096;1236;1234
3;0.8841166936790924;0.8819725141471302;0.8830433023067584;1091;1237;1234
4;0.8824959481361426;0.8817813765182186;0.882138517618469;1089;1235;1234
5;0.8833063209076175;0.8818770226537217;0.8825910931174089;1090;1236;1234
6;0.8824959481361426;0.8796445880452343;0.8810679611650486;1089;1238;1234
7;0.8833063209076175;0.8790322580645161;0.8811641067097817;1090;1240;1234
8;0.8857374392220422;0.8800322061191627;0.882875605815832;1093;1242;1234
9;0.8905996758508914;0.8848631239935588;0.8877221324717285;1099;1242;1234
10;0.8897893030794165;0.8847703464947623;0.8872727272727271;1098;1241;1234
11;0.8857374392220422;0.877207062600321;0.8814516129032257;1093;1246;1234
12;0.8873581847649918;0.8795180722891566;0.8834207341670027;1095;1245;1234
13;0.8889789303079416;0.8811244979919679;0.8850342880193627;1097;1245;1234
14;0.8857374392220422;0.8793242156074015;0.8825191764230924;1093;1243;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8679092382495948;0.8616251005631537;0.8647557529269276;1071;1243;1234
