TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8922204213938412;0.8879032258064516;0.8900565885206144;1101;1240;1234
2;0.893030794165316;0.8872785829307569;0.8901453957996769;1102;1242;1234
3;0.8914100486223663;0.8849557522123894;0.8881711748082359;1100;1243;1234
4;0.8946515397082658;0.8867469879518072;0.890681726502622;1104;1245;1234
5;0.8922204213938412;0.885048231511254;0.8886198547215496;1101;1244;1234
6;0.893030794165316;0.8865647626709574;0.8897860314897053;1102;1243;1234
7;0.8954619124797407;0.8882636655948553;0.8918482647296208;1105;1244;1234
8;0.8954619124797407;0.8882636655948553;0.8918482647296208;1105;1244;1234
9;0.893030794165316;0.8879935535858179;0.8905050505050505;1102;1241;1234
10;0.893030794165316;0.8894269572235673;0.8912252325111201;1102;1239;1234
11;0.8938411669367909;0.8916734033953112;0.8927559692432213;1103;1237;1234
12;0.8938411669367909;0.8909531502423264;0.8923948220064725;1103;1238;1234
13;0.8938411669367909;0.8909531502423264;0.8923948220064725;1103;1238;1234
14;0.8938411669367909;0.8909531502423264;0.8923948220064725;1103;1238;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.873581847649919;0.8637820512820513;0.8686543110394843;1078;1248;1234
