TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
1576 sentences were reranked out of 1700

PROBABILITY_MODEL=EPISODIC_TOPDOWN_MODEL
EXTRA_ATTACHMENT_IN_TD_DERIVATION=true
INCLUDE_DISCONTIGUITIES=false
COMPUTE_SHORTEST_DERIVATION_RERANKER=false
LAMBDA_1=0.2; LAMBDA_2=0.2; LAMBDA_3=0.2
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8755832037325039;0.8994916485112564;0.8873764149591632;18579;20655;21219
1;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
2;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
3;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
4;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
5;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
6;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
7;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
8;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
9;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
10;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
11;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
12;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
13;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
14;0.8759130967529102;0.8996998741407687;0.8876471571507032;18586;20658;21219
Ch;0.9064988925020029;0.9013167143057964;0.9039003759398496;19235;21341;21219
Ran;0.8856213770677224;0.881798132419877;0.8837056195626616;18792;21311;21219
