TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8938411669367909;0.8852327447833066;0.8895161290322581;1103;1246;1234
2;0.8946515397082658;0.8903225806451613;0.8924818108326596;1104;1240;1234
3;0.8914100486223663;0.8835341365461847;0.8874546187979023;1100;1245;1234
4;0.893030794165316;0.884430176565008;0.8887096774193548;1102;1246;1234
5;0.8905996758508914;0.8820224719101124;0.8862903225806452;1099;1246;1234
6;0.8938411669367909;0.8852327447833066;0.8895161290322581;1103;1246;1234
7;0.8946515397082658;0.8860353130016051;0.8903225806451613;1104;1246;1234
8;0.8897893030794165;0.8819277108433735;0.8858410649455426;1098;1245;1234
9;0.8914100486223663;0.8835341365461847;0.8874546187979023;1100;1245;1234
10;0.8914100486223663;0.8849557522123894;0.8881711748082359;1100;1243;1234
11;0.8881685575364667;0.8817377312952535;0.8849414614452967;1096;1243;1234
12;0.8881685575364667;0.8817377312952535;0.8849414614452967;1096;1243;1234
13;0.8889789303079416;0.8832528180354268;0.8861066235864299;1097;1242;1234
14;0.8857374392220422;0.8807413376309428;0.8832323232323234;1093;1241;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8792544570502431;0.8700882117080995;0.8746473196291819;1085;1247;1234
