TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8914100486223663;0.8856682769726248;0.888529886914378;1100;1242;1234
2;0.893030794165316;0.8865647626709574;0.8897860314897053;1102;1243;1234
3;0.893030794165316;0.8865647626709574;0.8897860314897053;1102;1243;1234
4;0.8946515397082658;0.8867469879518072;0.890681726502622;1104;1245;1234
5;0.893030794165316;0.8858520900321544;0.8894269572235675;1102;1244;1234
6;0.8922204213938412;0.8857602574416734;0.8889786031489705;1101;1243;1234
7;0.8987034035656402;0.8879103282626101;0.8932742650020137;1109;1249;1234
8;0.8970826580226904;0.8856;0.8913043478260869;1107;1250;1234
9;0.8914100486223663;0.8828250401284109;0.8870967741935483;1100;1246;1234
10;0.893030794165316;0.8858520900321544;0.8894269572235675;1102;1244;1234
11;0.8914100486223663;0.8856682769726248;0.888529886914378;1100;1242;1234
12;0.8922204213938412;0.887187751813054;0.8896969696969697;1101;1241;1234
13;0.8922204213938412;0.887187751813054;0.8896969696969697;1101;1241;1234
14;0.8922204213938412;0.887187751813054;0.8896969696969697;1101;1241;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8922204213938412;0.8772908366533865;0.8846926476496585;1101;1255;1234
