TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8946515397082658;0.8910411622276029;0.8928427011726648;1104;1239;1234
2;0.8954619124797407;0.8904109589041096;0.8929292929292929;1105;1241;1234
3;0.8922204213938412;0.8857602574416734;0.8889786031489705;1101;1243;1234
4;0.8946515397082658;0.887459807073955;0.891041162227603;1104;1244;1234
5;0.8962722852512156;0.8897827835880934;0.8930157448526443;1106;1243;1234
6;0.8938411669367909;0.8866559485530546;0.890234059725585;1103;1244;1234
7;0.893030794165316;0.885140562248996;0.8890681726502622;1102;1245;1234
8;0.8938411669367909;0.8866559485530546;0.890234059725585;1103;1244;1234
9;0.8881685575364667;0.8817377312952535;0.8849414614452967;1096;1243;1234
10;0.8889789303079416;0.8846774193548387;0.8868229587712206;1097;1240;1234
11;0.8897893030794165;0.8861985472154964;0.8879902951880307;1098;1239;1234
12;0.893030794165316;0.8887096774193548;0.8908649959579628;1102;1240;1234
13;0.893030794165316;0.8879935535858179;0.8905050505050505;1102;1241;1234
14;0.893030794165316;0.8879935535858179;0.8905050505050505;1102;1241;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.893030794165316;0.8773885350318471;0.8851405622489958;1102;1256;1234
