TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8946515397082658;0.8910411622276029;0.8928427011726648;1104;1239;1234
2;0.8962722852512156;0.8912167606768735;0.8937373737373737;1106;1241;1234
3;0.8978930307941653;0.8913917940466614;0.8946306015341139;1108;1243;1234
4;0.8962722852512156;0.8883534136546185;0.8922952803549818;1106;1245;1234
5;0.8970826580226904;0.8913043478260869;0.8941841680129241;1107;1242;1234
6;0.8962722852512156;0.8912167606768735;0.8937373737373737;1106;1241;1234
7;0.8962722852512156;0.8883534136546185;0.8922952803549818;1106;1245;1234
8;0.8978930307941653;0.8899598393574297;0.8939088342073417;1108;1245;1234
9;0.8954619124797407;0.8889782783588094;0.8922083165119097;1105;1243;1234
10;0.8970826580226904;0.8934624697336562;0.8952689041649817;1107;1239;1234
11;0.8962722852512156;0.8926553672316384;0.8944601698342094;1106;1239;1234
12;0.8987034035656402;0.8957996768982229;0.8972491909385113;1109;1238;1234
13;0.8987034035656402;0.8957996768982229;0.8972491909385113;1109;1238;1234
14;0.8987034035656402;0.8957996768982229;0.8972491909385113;1109;1238;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8743922204213939;0.8611332801276935;0.8677121029352634;1079;1253;1234
