TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8711507293354943;0.8847736625514403;0.8779093507554102;1075;1215;1234
1;0.8922204213938412;0.887187751813054;0.8896969696969697;1101;1241;1234
2;0.8954619124797407;0.8896940418679549;0.8925686591276252;1105;1242;1234
3;0.8978930307941653;0.8913917940466614;0.8946306015341139;1108;1243;1234
4;0.8946515397082658;0.887459807073955;0.891041162227603;1104;1244;1234
5;0.8954619124797407;0.8904109589041096;0.8929292929292929;1105;1241;1234
6;0.8946515397082658;0.8881737731295254;0.8914008881711749;1104;1243;1234
7;0.8954619124797407;0.8847077662129704;0.8900523560209425;1105;1249;1234
8;0.8978930307941653;0.8892455858747994;0.8935483870967742;1108;1246;1234
9;0.8922204213938412;0.8843373493975903;0.8882613957240822;1101;1245;1234
10;0.8938411669367909;0.8887993553585818;0.8913131313131313;1103;1241;1234
11;0.8938411669367909;0.8887993553585818;0.8913131313131313;1103;1241;1234
12;0.8938411669367909;0.8887993553585818;0.8913131313131313;1103;1241;1234
13;0.8970826580226904;0.8934624697336562;0.8952689041649817;1107;1239;1234
14;0.8970826580226904;0.8934624697336562;0.8952689041649817;1107;1239;1234
15;0.8970826580226904;0.8934624697336562;0.8952689041649817;1107;1239;1234
16;0.8970826580226904;0.8934624697336562;0.8952689041649817;1107;1239;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8743922204213939;0.8618210862619808;0.8680611423974256;1079;1252;1234
