TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
280 sentences were reranked out of 300

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8784796573875803;0.8950095445868558;0.8866675672024856;3282;3667;3736
1;0.8934689507494646;0.892036344200962;0.8927520727467237;3338;3742;3736
2;0.8942719486081371;0.891884676988788;0.893076717455226;3341;3746;3736
3;0.8958779443254818;0.8932479316786762;0.8945610049445409;3347;3747;3736
4;0.8977516059957173;0.8944;0.8960726689820999;3354;3750;3736
5;0.8977516059957173;0.8924960085151676;0.8951160928742995;3354;3758;3736
6;0.8966809421841542;0.8926192379429789;0.8946454800373882;3350;3753;3736
7;0.8980192719486081;0.8939515054622968;0.895980771798638;3355;3753;3736
8;0.8982869379014989;0.8930282064928153;0.8956498532159061;3356;3758;3736
9;0.8942719486081371;0.8909333333333334;0.8925995191023243;3341;3750;3736
10;0.8937366167023555;0.8908751334044824;0.8923035809727419;3339;3748;3736
11;0.8932012847965739;0.890816871329418;0.8920074846297782;3337;3746;3736
12;0.8921306209850107;0.8890370765537476;0.8905811623246493;3333;3749;3736
13;0.8918629550321199;0.8887703387570018;0.8903139612558449;3332;3749;3736
14;0.8921306209850107;0.8892742796157951;0.8907001603420631;3333;3748;3736
Ch;0.9049785867237687;0.8970549217299019;0.9009993337774818;3381;3769;3736
Ran;0.8862419700214133;0.8761577136808679;0.8811709913506319;3311;3779;3736
