freq;,length;occ;cxs
35;4;5,34,123,167,186,187,216,259,261,267,295,348,362,367,393,413,466,488,493,522,534,543,566,567,597,608,651,672,690,815,828,883,896,902,914;(TOP>PUNC (TOP>S )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
34;5;16,38,53,56,69,89,159,221,244,263,270,282,303,371,376,415,550,571,573,576,583,601,614,618,682,772,782,806,844,852,912,915,916,918;(TOP>PUNC^1 (TOP>S@[P0] (TOP>UH )(S )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
22;5;26,68,75,83,84,90,152,165,331,358,418,437,496,497,540,603,634,702,754,807,817,926;(TOP>PUNC^1 (TOP>S@[P0] (TOP>S )(S )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
21;5;88,95,169,194,211,220,281,347,389,421,458,459,478,479,604,642,694,818,841,859,909;(TOP>PUNC^1 (TOP>S@[P0] (S )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
16;7;0,3,33,236,247,302,353,395,433,477,553,581,766,775,788,891;(TOP>PUNC^1 (TOP>S@[P2] (S@[P1] (S>S@[P0] (S>CNJ )(S )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
15;4;6,228,254,274,412,419,457,481,587,637,653,691,703,783,875;(TOP>PUNC (TOP>UH )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
15;7;55,121,163,192,285,399,441,578,635,664,719,785,797,854,884;(TOP>PUNC^1 (TOP>S@[P2] (S@[P1] (S>VP:COMP@[P0] (S>MD:HD )(VP:COMP )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
14;6;43,96,137,160,193,215,256,310,439,464,509,523,708,870;(TOP>PUNC^1 (TOP>S@[P1] (S@[P0] (S>AP:COMP )) ) (PUNC@[A4] (.*TOP>PUNC^1@[P3] (TOP>PUNC*@[S2] ) ) ) )
13;4;30,52,67,76,78,92,246,335,438,461,638,726,802;(TOP>PUNC (TOP>NP )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
11;5;125,151,202,264,374,414,617,723,777,811,889;(TOP>PUNC^1 (TOP>S@[P0] (TOP>NP )(S )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
