freq,length,fragment
16,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + attach
13,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach
11,6,VP:COMP.1*VB:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + VP:COMP*VB:HD*NP:COMP + attach
10,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + great + JJ:HD*great + AP:COMP*JJ:HD + attach
9,5,PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
8,7,S.1*NP:SBJ*VBZ:HD*AP:COMP + sounds + VBZ:HD*sounds + S.2*NP:SBJ*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach
7,5,VP:COMP.1*VB:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
7,5,VP:COMP.1*VB:HD*NP:COMP + it + PP:HD*it + NP:COMP*PP:HD + VP:COMP*VB:HD*NP:COMP + attach
6,5,PP:ADJ.1*IN:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
6,7,S.1*NP:SBJ*VBZ:HD*AP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + attach
6,5,NP:COMP.1*NP:HD*NP:ADJ + afternoon + NN:HD*afternoon + NP:ADJ*NN:HD + NP:COMP*NP:HD*NP:ADJ + attach
6,5,NP:COMP.1*DTP:SPR*ONUM:HD + eighth + JJ*eighth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
6,4,AP:COMP.1*DGP:SPR*JJ:HD + good + JJ:HD*good + AP:COMP*DGP:SPR*JJ:HD + attach
5,7,PP:ADJ.1*IN:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
5,4,four + CD*four + CNUM:HD*CD + NP:COMP*CNUM:HD + attach
5,9,AP:COMP*JJ:HD + S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + with + IN:HD*with + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
5,5,VP:COMP.1*VB:HD*ADVP:ADJ + there + RB:HD*there + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*ADVP:ADJ + attach
5,4,NP:COMP.1*CNUM:HD*NN:ADJ + $P-$M + NN:ADJ*$P-$M + NP:COMP*CNUM:HD*NN:ADJ + attach
5,5,VP:COMP.1*VB:HD*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*ADVP:ADJ + attach
5,5,VP:COMP.1*VB:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
5,9,S.2*NP:SBJ*MD:HD*VP:COMP + do + VB:HD*do + VP:COMP.1*VB:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + VP:COMP*VB:HD*NP:COMP + attach
5,8,S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
5,9,AP:COMP*JJ:HD + S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
4,5,VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + there + RB:HD*there + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
4,9,AP:COMP*JJ:HD + S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:COMP + to + IN:HD*to + PP:COMP.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:COMP*IN:HD*NP:COMP + attach
4,9,AP:COMP*JJ:HD + VP.2*VBZ:HD*AP:COMP*PP:COMP + to + IN:HD*to + PP:COMP.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:COMP*IN:HD*NP:COMP + attach
4,7,at + IN:HD*at + PP:ADJ.1*IN:HD*NP:COMP + all + DT:HD*all + NP:COMP*DT:HD + PP:ADJ*IN:HD*NP:COMP + attach
4,5,VP:COMP.1*VB:HD*NP:COMP + fun + NN:HD*fun + NP:COMP*NN:HD + VP:COMP*VB:HD*NP:COMP + attach
4,7,three + CD:HD*three + AP:ADJ*CD:HD + NP:COMP.1*AP:ADJ*NNS:HD + days + NNS:HD*days + NP:COMP*AP:ADJ*NNS:HD + attach
4,5,eight + CD*eight + CNUM:HD*CD + NP:COMP*CNUM:HD + PP:ADJ*IN:HD*NP:COMP + attach
4,6,PP:ADJ*IN:HD*NP:COMP + VP:COMP.2*VB:HD*PP:ADJ*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*PP:ADJ*ADVP:ADJ + attach
4,19,START.1 + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*MD:HD*VP:COMP + will + MD:HD*will + S.2*NP:SBJ*MD:HD*VP:COMP + see + VB:HD*see + VP:COMP.1*VB:HD*NP:COMP*ADVP:ADJ + you + PP:HD*you + NP:COMP*PP:HD + VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
4,6,START.1 + oh + UH*oh + TOP.1*UH*ADVP + really + RB:HD*really + ADVP*RB:HD_1
