TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=topdown_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
0;37;16;24;ch;20;24;1;0;20;24;2;0;20;24;3;2;24;24;4;2;24;24;5;2;24;24;6;2;24;24;7;2;24;24;8;0;20;24;9;0;20;24;10;0;20;24;11;0;20;24;12;0;20;24;13;2;24;24;14;2;24;24;ran;3;20;24
2;20;9;13;ch;9;13;1;3;9;14;2;3;9;14;3;3;9;14;4;3;9;14;5;3;9;14;6;3;9;14;7;3;9;14;8;3;9;14;9;3;9;14;10;3;9;14;11;3;9;14;12;3;9;14;13;3;9;14;14;3;9;14;ran;0;9;13
3;37;9;16;ch;14;15;1;0;14;15;2;0;14;15;3;0;14;15;4;0;14;15;5;0;14;15;6;0;14;15;7;0;14;15;8;0;14;15;9;0;14;15;10;1;14;16;11;0;14;15;12;0;14;15;13;1;14;16;14;0;14;15;ran;1;14;16
4;23;12;14;ch;14;14;1;2;14;14;2;2;14;14;3;2;14;14;4;2;14;14;5;2;14;14;6;2;14;14;7;2;14;14;8;2;14;14;9;2;14;14;10;2;14;14;11;2;14;14;12;2;14;14;13;2;14;14;14;2;14;14;ran;0;14;14
5;22;13;13;ch;13;13;1;1;11;14;2;1;11;14;3;1;11;14;4;0;13;13;5;0;13;13;6;1;11;14;7;1;11;14;8;1;11;14;9;1;11;14;10;1;11;14;11;1;11;14;12;1;11;14;13;1;11;14;14;1;11;14;ran;2;13;13
6;17;12;11;ch;11;12;1;4;11;11;2;1;11;12;3;1;11;12;4;1;11;12;5;1;11;12;6;1;11;12;7;1;11;12;8;1;11;12;9;1;11;12;10;1;11;12;11;1;11;12;12;1;11;12;13;1;11;12;14;1;11;12;ran;2;11;11
7;28;16;19;ch;14;20;1;4;13;19;2;2;14;20;3;2;14;20;4;2;14;20;5;2;14;20;6;2;14;20;7;2;14;20;8;2;14;20;9;2;14;20;10;2;14;20;11;2;14;20;12;2;14;20;13;2;14;20;14;2;14;20;ran;1;14;20
8;34;15;23;ch;20;24;1;1;20;24;2;1;20;24;3;1;20;24;4;0;20;24;5;0;20;24;6;0;20;24;7;0;20;24;8;0;20;24;9;0;20;24;10;0;20;24;11;0;20;24;12;0;20;24;13;0;20;24;14;0;20;24;ran;0;20;24
9;23;13;16;ch;16;16;1;3;15;15;2;3;15;15;3;2;15;15;4;2;15;15;5;0;16;16;6;0;16;16;7;0;16;16;8;0;16;16;9;0;16;16;10;0;16;16;11;1;16;16;12;0;16;16;13;0;16;16;14;1;16;16;ran;0;16;16
10;30;14;18;ch;18;18;1;1;18;19;2;1;18;19;3;1;18;19;4;1;18;19;5;1;18;19;6;1;18;19;7;1;18;19;8;1;18;19;9;1;18;19;10;1;18;19;11;0;18;18;12;0;18;18;13;0;18;18;14;0;18;18;ran;1;18;19
11;29;18;20;ch;16;19;1;0;16;19;2;0;16;19;3;0;16;19;4;0;16;19;5;0;16;19;6;0;16;19;7;0;16;19;8;0;16;19;9;0;16;19;10;0;16;19;11;0;16;19;12;0;16;19;13;0;16;19;14;0;16;19;ran;0;16;19
12;23;15;16;ch;12;16;1;2;11;17;2;2;11;17;3;2;11;17;4;2;11;17;5;0;12;16;6;0;12;16;7;0;12;16;8;2;11;17;9;2;11;17;10;2;11;17;11;0;12;16;12;0;12;16;13;0;12;16;14;0;12;16;ran;2;11;17
13;13;6;8;ch;8;8;1;1;8;8;2;1;8;8;3;1;8;8;4;1;8;8;5;1;8;8;6;1;8;8;7;1;8;8;8;1;8;8;9;1;8;8;10;1;8;8;11;1;8;8;12;1;8;8;13;1;8;8;14;1;8;8;ran;1;8;8
14;20;10;13;ch;11;16;1;4;13;14;2;4;13;14;3;4;13;14;4;4;13;14;5;4;13;14;6;4;13;14;7;4;13;14;8;4;13;14;9;4;13;14;10;4;13;14;11;4;13;14;12;4;13;14;13;4;13;14;14;4;13;14;ran;3;11;16
17;27;14;17;ch;16;18;1;3;16;18;2;3;16;18;3;3;16;18;4;3;16;18;5;3;16;18;6;3;16;18;7;0;16;18;8;0;16;18;9;0;16;18;10;0;16;18;11;0;16;18;12;0;16;18;13;0;16;18;14;0;16;18;ran;0;16;18
18;26;16;21;ch;14;20;1;1;16;20;2;1;16;20;3;0;14;20;4;0;14;20;5;0;14;20;6;1;16;20;7;1;16;20;8;1;16;20;9;1;16;20;10;3;17;21;11;3;17;21;12;3;17;21;13;3;17;21;14;0;14;20;ran;3;17;21
19;15;8;9;ch;8;9;1;2;9;9;2;2;9;9;3;2;9;9;4;2;9;9;5;2;9;9;6;2;9;9;7;2;9;9;8;2;9;9;9;2;9;9;10;2;9;9;11;2;9;9;12;2;9;9;13;2;9;9;14;2;9;9;ran;3;9;9
20;9;11;7;ch;7;7;1;0;7;7;2;0;7;7;3;0;7;7;4;0;7;7;5;0;7;7;6;0;7;7;7;0;7;7;8;0;7;7;9;0;7;7;10;0;7;7;11;0;7;7;12;0;7;7;13;0;7;7;14;0;7;7;ran;4;7;7
22;22;17;17;ch;15;17;1;0;15;17;2;0;15;17;3;0;15;17;4;3;14;18;5;3;14;18;6;3;14;18;7;3;14;18;8;3;14;18;9;3;14;18;10;3;14;18;11;3;14;18;12;3;14;18;13;3;14;18;14;3;14;18;ran;4;15;16
23;17;8;8;ch;7;7;1;2;8;8;2;0;7;7;3;0;7;7;4;0;7;7;5;0;7;7;6;2;8;8;7;2;8;8;8;2;8;8;9;2;8;8;10;2;8;8;11;2;8;8;12;2;8;8;13;2;8;8;14;2;8;8;ran;4;7;8
24;10;6;6;ch;5;6;1;0;5;6;2;0;5;6;3;0;5;6;4;0;5;6;5;0;5;6;6;0;5;6;7;0;5;6;8;0;5;6;9;0;5;6;10;0;5;6;11;0;5;6;12;0;5;6;13;0;5;6;14;0;5;6;ran;3;4;5
25;22;7;12;ch;11;13;1;2;12;13;2;2;12;13;3;2;12;13;4;2;12;13;5;0;11;13;6;0;11;13;7;1;11;14;8;0;11;13;9;0;11;13;10;0;11;13;11;0;11;13;12;0;11;13;13;0;11;13;14;0;11;13;ran;4;11;13
26;17;8;10;ch;10;10;1;2;10;10;2;2;10;10;3;2;10;10;4;2;10;10;5;2;10;10;6;3;10;11;7;3;10;11;8;3;10;11;9;2;10;10;10;2;10;10;11;2;10;10;12;2;10;10;13;2;10;10;14;2;10;10;ran;2;10;10
27;14;6;7;ch;7;7;1;2;7;8;2;2;7;8;3;2;7;8;4;2;7;8;5;2;7;8;6;2;7;8;7;2;7;8;8;2;7;8;9;2;7;8;10;2;7;8;11;2;7;8;12;2;7;8;13;2;7;8;14;2;7;8;ran;1;6;7
28;21;10;13;ch;12;14;1;1;12;14;2;0;12;14;3;0;12;14;4;1;12;14;5;0;12;14;6;1;12;14;7;1;12;14;8;1;12;14;9;1;12;14;10;1;12;14;11;1;12;14;12;1;12;14;13;1;12;14;14;1;12;14;ran;1;12;14
29;18;6;8;ch;8;8;1;0;8;8;2;4;7;7;3;4;7;7;4;4;7;7;5;4;7;7;6;0;8;8;7;0;8;8;8;0;8;8;9;1;8;8;10;0;8;8;11;0;8;8;12;0;8;8;13;0;8;8;14;0;8;8;ran;4;7;7
30;26;11;16;ch;14;15;1;4;11;15;2;4;11;15;3;4;11;15;4;4;11;15;5;0;14;15;6;4;11;15;7;4;11;15;8;4;11;15;9;4;11;15;10;4;11;15;11;4;11;15;12;4;11;15;13;4;11;15;14;4;11;15;ran;2;11;15
