TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
0;37;16;24;ch;20;24;0;0;20;24;1;0;20;24;2;0;20;24;3;0;20;24;4;0;20;24;5;0;20;24;6;0;20;24;7;0;20;24;8;0;20;24;9;0;20;24;10;0;20;24;11;0;20;24;12;0;20;24;13;0;20;24;14;0;20;24;ran;2;24;24
2;20;9;13;ch;9;13;0;0;9;13;1;0;9;13;2;0;9;13;3;0;9;13;4;0;9;13;5;0;9;13;6;0;9;13;7;0;9;13;8;0;9;13;9;0;9;13;10;0;9;13;11;0;9;13;12;0;9;13;13;0;9;13;14;0;9;13;ran;1;9;14
3;37;9;16;ch;14;15;0;0;14;15;1;2;15;16;2;2;15;16;3;2;15;16;4;2;15;16;5;2;15;16;6;2;15;16;7;2;15;16;8;2;15;16;9;2;15;16;10;2;15;16;11;2;15;16;12;2;15;16;13;3;15;17;14;3;15;17;ran;1;14;16
4;23;12;14;ch;14;14;0;2;14;14;1;3;14;14;2;3;14;14;3;3;14;14;4;3;14;14;5;3;14;14;6;3;14;14;7;2;14;14;8;2;14;14;9;2;14;14;10;2;14;14;11;2;14;14;12;2;14;14;13;2;14;14;14;2;14;14;ran;0;14;14
5;22;13;13;ch;13;13;0;0;13;13;1;0;13;13;2;0;13;13;3;0;13;13;4;0;13;13;5;0;13;13;6;0;13;13;7;0;13;13;8;0;13;13;9;0;13;13;10;1;11;14;11;1;11;14;12;0;13;13;13;0;13;13;14;0;13;13;ran;0;13;13
6;17;12;11;ch;11;12;0;4;11;11;1;2;11;11;2;2;11;11;3;2;11;11;4;2;11;11;5;2;11;11;6;2;11;11;7;2;11;11;8;2;11;11;9;2;11;11;10;2;11;11;11;2;11;11;12;2;11;11;13;2;11;11;14;2;11;11;ran;1;11;12
7;28;16;19;ch;14;20;0;4;13;19;1;4;13;19;2;4;13;19;3;4;13;19;4;4;13;19;5;4;13;19;6;4;13;19;7;4;13;19;8;4;13;19;9;4;13;19;10;4;13;19;11;4;13;19;12;4;13;19;13;4;13;19;14;4;13;19;ran;3;13;19
8;34;15;23;ch;20;24;0;3;20;23;1;1;20;24;2;1;20;24;3;1;20;24;4;0;20;24;5;0;20;24;6;0;20;24;7;0;20;24;8;0;20;24;9;0;20;24;10;0;20;24;11;0;20;24;12;0;20;24;13;0;20;24;14;0;20;24;ran;3;20;23
9;23;13;16;ch;16;16;0;3;15;15;1;0;16;16;2;0;16;16;3;0;16;16;4;0;16;16;5;0;16;16;6;0;16;16;7;0;16;16;8;0;16;16;9;0;16;16;10;0;16;16;11;0;16;16;12;0;16;16;13;0;16;16;14;3;15;15;ran;4;15;15
10;30;14;18;ch;18;18;0;0;18;18;1;0;18;18;2;0;18;18;3;0;18;18;4;0;18;18;5;0;18;18;6;0;18;18;7;0;18;18;8;0;18;18;9;0;18;18;10;0;18;18;11;0;18;18;12;0;18;18;13;0;18;18;14;0;18;18;ran;3;15;18
11;29;18;20;ch;16;19;0;4;16;19;1;4;16;19;2;4;16;19;3;4;16;19;4;4;16;19;5;4;16;19;6;4;16;19;7;4;16;19;8;4;16;19;9;4;16;19;10;4;16;19;11;4;16;19;12;4;16;19;13;4;16;19;14;4;16;19;ran;4;16;19
12;23;15;16;ch;12;16;0;0;12;16;1;0;12;16;2;0;12;16;3;0;12;16;4;0;12;16;5;0;12;16;6;0;12;16;7;0;12;16;8;0;12;16;9;0;12;16;10;0;12;16;11;0;12;16;12;0;12;16;13;0;12;16;14;0;12;16;ran;3;16;16
13;13;6;8;ch;8;8;0;2;7;7;1;0;8;8;2;0;8;8;3;0;8;8;4;0;8;8;5;0;8;8;6;0;8;8;7;0;8;8;8;0;8;8;9;0;8;8;10;0;8;8;11;0;8;8;12;0;8;8;13;0;8;8;14;2;7;7;ran;4;7;7
14;20;10;13;ch;11;16;0;4;13;14;1;4;13;14;2;4;13;14;3;4;13;14;4;4;13;14;5;4;13;14;6;4;13;14;7;4;13;14;8;4;13;14;9;4;13;14;10;4;13;14;11;4;13;14;12;4;13;14;13;4;13;14;14;4;13;14;ran;2;11;15
17;27;14;17;ch;16;18;0;4;14;17;1;2;14;18;2;2;14;18;3;2;14;18;4;2;14;18;5;2;14;18;6;2;14;18;7;2;14;18;8;2;14;18;9;2;14;18;10;2;14;18;11;2;14;18;12;2;14;18;13;2;14;18;14;2;14;18;ran;1;14;17
18;26;16;21;ch;14;20;0;0;14;20;1;1;16;20;2;1;16;20;3;1;16;20;4;1;16;20;5;3;17;21;6;3;17;21;7;3;17;21;8;3;17;21;9;3;17;21;10;4;17;20;11;4;17;20;12;4;17;20;13;4;17;20;14;4;17;20;ran;4;17;20
19;15;8;9;ch;8;9;0;4;9;9;1;3;9;9;2;3;9;9;3;3;9;9;4;3;9;9;5;3;9;9;6;3;9;9;7;3;9;9;8;3;9;9;9;3;9;9;10;3;9;9;11;3;9;9;12;3;9;9;13;3;9;9;14;3;9;9;ran;1;8;9
20;9;11;7;ch;7;7;0;4;7;7;1;0;7;7;2;0;7;7;3;0;7;7;4;0;7;7;5;0;7;7;6;0;7;7;7;0;7;7;8;0;7;7;9;0;7;7;10;0;7;7;11;0;7;7;12;0;7;7;13;0;7;7;14;0;7;7;ran;4;7;7
22;22;17;17;ch;15;17;0;1;13;16;1;0;15;17;2;0;15;17;3;0;15;17;4;1;13;16;5;1;13;16;6;1;13;16;7;1;13;16;8;0;15;17;9;0;15;17;10;0;15;17;11;0;15;17;12;0;15;17;13;0;15;17;14;0;15;17;ran;0;15;17
23;17;8;8;ch;7;7;0;0;7;7;1;2;8;8;2;2;8;8;3;2;8;8;4;2;8;8;5;2;8;8;6;2;8;8;7;2;8;8;8;2;8;8;9;2;8;8;10;2;8;8;11;2;8;8;12;2;8;8;13;2;8;8;14;2;8;8;ran;1;7;8
24;10;6;6;ch;5;6;0;0;5;6;1;0;5;6;2;0;5;6;3;0;5;6;4;0;5;6;5;0;5;6;6;0;5;6;7;0;5;6;8;0;5;6;9;0;5;6;10;0;5;6;11;0;5;6;12;0;5;6;13;0;5;6;14;0;5;6;ran;3;4;5
25;22;7;12;ch;11;13;0;2;12;13;1;2;12;13;2;2;12;13;3;2;12;13;4;2;12;13;5;0;11;13;6;0;11;13;7;0;11;13;8;0;11;13;9;0;11;13;10;0;11;13;11;0;11;13;12;0;11;13;13;0;11;13;14;0;11;13;ran;4;11;13
26;17;8;10;ch;10;10;0;2;10;10;1;2;10;10;2;2;10;10;3;2;10;10;4;0;10;10;5;0;10;10;6;1;10;11;7;1;10;11;8;1;10;11;9;1;10;11;10;1;10;11;11;1;10;11;12;1;10;11;13;1;10;11;14;1;10;11;ran;3;10;11
27;14;6;7;ch;7;7;0;0;7;7;1;2;7;8;2;2;7;8;3;2;7;8;4;2;7;8;5;2;7;8;6;2;7;8;7;2;7;8;8;2;7;8;9;2;7;8;10;2;7;8;11;2;7;8;12;2;7;8;13;2;7;8;14;2;7;8;ran;0;7;7
28;21;10;13;ch;12;14;0;4;12;13;1;1;12;14;2;1;12;14;3;1;12;14;4;1;12;14;5;1;12;14;6;1;12;14;7;1;12;14;8;1;12;14;9;1;12;14;10;1;12;14;11;1;12;14;12;1;12;14;13;1;12;14;14;1;12;14;ran;0;12;14
29;18;6;8;ch;8;8;0;4;7;7;1;3;8;9;2;3;8;9;3;3;8;9;4;3;8;9;5;3;8;9;6;3;8;9;7;3;8;9;8;3;8;9;9;3;8;9;10;3;8;9;11;3;8;9;12;3;8;9;13;3;8;9;14;3;8;9;ran;2;8;9
30;26;11;16;ch;14;15;0;4;11;15;1;0;14;15;2;0;14;15;3;0;14;15;4;0;14;15;5;0;14;15;6;0;14;15;7;0;14;15;8;0;14;15;9;0;14;15;10;0;14;15;11;0;14;15;12;0;14;15;13;0;14;15;14;0;14;15;ran;3;11;16
31;8;5;4;ch;4;4;0;0;4;4;1;0;4;4;2;0;4;4;3;0;4;4;4;0;4;4;5;0;4;4;6;0;4;4;7;0;4;4;8;0;4;4;9;0;4;4;10;0;4;4;11;0;4;4;12;0;4;4;13;0;4;4;14;0;4;4;ran;0;4;4
32;17;8;9;ch;9;9;0;0;9;9;1;1;9;10;2;1;9;10;3;1;9;10;4;1;9;10;5;0;9;9;6;0;9;9;7;0;9;9;8;2;9;9;9;2;9;9;10;2;9;9;11;2;9;9;12;2;9;9;13;2;9;9;14;2;9;9;ran;2;9;9
