his;LP;LR;F;#matchCst;#cstComp;#cstGiven
1;0.8977272727272727;0.8586956521739131;0.8777777777777778;79;92;88
2;0.8977272727272727;0.8586956521739131;0.8777777777777778;79;92;88
3;0.8977272727272727;0.8586956521739131;0.8777777777777778;79;92;88
4;0.8977272727272727;0.8586956521739131;0.8777777777777778;79;92;88
5;0.8522727272727273;0.8152173913043478;0.8333333333333333;75;92;88
6;0.8522727272727273;0.8152173913043478;0.8333333333333333;75;92;88
7;0.8522727272727273;0.8152173913043478;0.8333333333333333;75;92;88
8;0.8636363636363636;0.8351648351648352;0.8491620111731844;76;91;88
9;0.8636363636363636;0.8351648351648352;0.8491620111731844;76;91;88
10;0.8636363636363636;0.8539325842696629;0.8587570621468926;76;89;88
11;0.8636363636363636;0.8539325842696629;0.8587570621468926;76;89;88
12;0.8636363636363636;0.8539325842696629;0.8587570621468926;76;89;88
13;0.875;0.8651685393258427;0.8700564971751412;77;89;88
14;0.875;0.8651685393258427;0.8700564971751412;77;89;88
Ch;0.8863636363636364;0.8571428571428571;0.8715083798882681;78;91;88
Ran;0.5113636363636364;0.4787234042553192;0.4945054945054946;45;94;88
